Tue, 08 Aug 2023 08:48:29 GMT
Route: /api/categories/ not found.
----------------------------------------Tue, 08 Aug 2023 08:54:19 GMT
Route: /api/categories/ not found.
----------------------------------------Tue, 08 Aug 2023 08:54:41 GMT
Route: /api/categories/ not found.
----------------------------------------Tue, 08 Aug 2023 09:02:58 GMT
Route: /api/categories/ not found.
----------------------------------------Tue, 08 Aug 2023 09:03:20 GMT
Route: /api/categories/ not found.
----------------------------------------Tue, 08 Aug 2023 09:05:41 GMT
connect ECONNREFUSED ::1:3306
----------------------------------------Tue, 08 Aug 2023 09:07:12 GMT
connect ECONNREFUSED ::1:3306
----------------------------------------Tue, 08 Aug 2023 09:07:24 GMT
connect ECONNREFUSED ::1:3306
----------------------------------------Tue, 08 Aug 2023 09:12:14 GMT
connect ECONNREFUSED ::1:3306
----------------------------------------Tue, 08 Aug 2023 09:17:39 GMT
connect ECONNREFUSED ::1:3306
----------------------------------------Tue, 08 Aug 2023 09:33:33 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:33 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:39 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:39 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:51 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:51 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:53 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:33:53 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:35:18 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:35:18 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:37:03 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:37:03 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:40:44 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:40:44 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:40:53 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:40:53 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:41:14 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:41:14 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:41:25 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:41:25 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:42:30 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:42:30 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:51:16 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:51:16 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\10ac08d1-1da9-42bf-a45c-f6026b577b94.jpg'
----------------------------------------Tue, 08 Aug 2023 09:54:53 GMT
ENOENT: no such file or directory, stat 'C:\4578-94\Class exercises\Northwind - Fullstack\Backend\src\1-assets\images\02ac1e2b-e506-428f-9be3-deca868a1100.jpg'
----------------------------------------Tue, 08 Aug 2023 09:54:53 GMT
